ens_id,gene_id
ENSG00000137055,PLAA
ENSG00000183155,RABIF
ENSG00000095066,HOOK2
ENSG00000159202,UBE2Z
ENSG00000183570,PCBP3
ENSG00000168389,MFSD2A
ENSG00000173757,STAT5B
ENSG00000167005,NUDT21
ENSG00000156467,UQCRB
ENSG00000275023,MLLT6
ENSG00000228927,TSPY3
ENSG00000113569,NUP155
ENSG00000144381,HSPD1
ENSG00000124767,GLO1
ENSG00000131386,GALNT15
ENSG00000189120,SP6
ENSG00000188786,MTF1
ENSG00000154473,BUB3
ENSG00000004961,HCCS
ENSG00000143156,NME7
ENSG00000170270,GON7
ENSG00000222046,DCDC2B
ENSG00000144908,ALDH1L1
ENSG00000038945,MSR1
ENSG00000205352,PRR13
ENSG00000145920,CPLX2
ENSG00000188186,LAMTOR4
ENSG00000142227,EMP3
ENSG00000138175,ARL3
ENSG00000163682,RPL9
ENSG00000135222,CSN2
ENSG00000147872,PLIN2
ENSG00000182318,ZSCAN22
ENSG00000155506,LARP1
ENSG00000144746,ARL6IP5
ENSG00000075399,VPS9D1
ENSG00000007952,NOX1
ENSG00000188878,FBF1
ENSG00000177324,BEND2
ENSG00000167861,HID1
ENSG00000169756,LIMS1
ENSG00000162191,UBXN1
ENSG00000114988,LMAN2L
ENSG00000164708,PGAM2
ENSG00000077063,CTTNBP2
ENSG00000065548,ZC3H15
ENSG00000147996,CBWD5
ENSG00000181481,RNF135
ENSG00000187556,NANOS3
ENSG00000180176,TH
ENSG00000051128,HOMER3
ENSG00000157510,AFAP1L1
ENSG00000198815,FOXJ3
ENSG00000106080,FKBP14
ENSG00000160888,IER2
ENSG00000163138,PACRGL
ENSG00000172247,C1QTNF4
ENSG00000106565,TMEM176B
ENSG00000163251,FZD5
ENSG00000159387,IRX6
ENSG00000078246,TULP3
ENSG00000123416,TUBA1B
ENSG00000121680,PEX16
ENSG00000148734,NPFFR1
ENSG00000172497,ACOT12
ENSG00000231389,HLA-DPA1
ENSG00000237651,C2orf74
ENSG00000163348,PYGO2
ENSG00000174740,PABPC5
ENSG00000135451,TROAP
ENSG00000173699,SPATA3
ENSG00000162735,PEX19
ENSG00000117505,DR1
ENSG00000198001,IRAK4
ENSG00000267673,FDX2
ENSG00000172331,BPGM
ENSG00000159063,ALG8
ENSG00000132313,MRPL35
ENSG00000197860,SGTB
ENSG00000070010,UFD1
ENSG00000168283,BMI1
ENSG00000172031,EPHX4
ENSG00000010282,HHATL
ENSG00000136732,GYPC
ENSG00000143556,S100A7
ENSG00000181513,ACBD4
ENSG00000268651,CTAG1A
ENSG00000198258,UBL5
ENSG00000165816,VWA2
ENSG00000142687,KIAA0319L
ENSG00000116991,SIPA1L2
ENSG00000164093,PITX2
ENSG00000132953,XPO4
