A,B
cyc1,cav3
cyc1,fancd2
cyc1,ywhab
cyc1,ywhae
cyc1,hsd3b4
cyc1,ywhaz
cyc1,uqcrc1
cyc1,cacna1c
cyc1,ppp1ca
cyc1,atp6v1a
cyc1,ngb
cyc1,uqcrc2
cyc1,uqcrb
cyc1,uqcrq
cyc1,uqcrh
cyc1,uqcr10
cyc1,cytb
cyc1,uqcrfs1
hspb2,ywhae
hspb2,vcl
hspb2,akt1
hspb2,dlst
hspb2,actn1
hspb2,hspa8
hspb2,mapk14
hspb2,slc25a12
hspb2,vim
hspb2,slc25a5
hspb2,c1qbp
hspb2,opa1
hspb2,uqcrq
hspb2,mrpl12
hspb2,samm50
hspb2,ndufb5
hspb2,mtch2
hspb2,slc25a42
hspb2,fech
hspb2,crip2
hspb2,ndufb6
hspb2,ndufb8
hspb2,cisd1
hspb2,ndufc2
hspb2,cpt2
hspb2,mtfp1
hspb2,ndufb9
hspb2,mtx2
cav3,ywhae
cav3,vcl
cav3,ywhaz
cav3,uqcrc1
cav3,sod2
cav3,atp1b1
cav3,vdac1
cav3,ptpn11
cav3,hspd1
cav3,cltc
cav3,hsp90ab1
cav3,dlst
cav3,pdha1
cav3,actn1
cav3,hspa8
cav3,lmna
cav3,iars
cav3,aldoa
cav3,atp2a2
cav3,sdha
cav3,slc25a3
cav3,bag2
cav3,prkce
cav3,gja1
cav3,vim
cav3,ap2a2
cav3,cand1
cav3,sdhc
cav3,sdhb
cav3,acsl1
cav3,ndufv1
cav3,pcbp1
cav3,ehd1
cav3,eef1g
cav3,gstp1
cav3,prdx6
cav3,dpysl2
cav3,csrp3
cav3,pfkm
cav3,immt
cav3,tubb2a
cav3,ndufs2
cav3,cs
cav3,uqcrc2
cav3,slc25a13
cav3,phb2
cav3,wdr1
cav3,rpl13a
cav3,flnb
cav3,rps8
cav3,tgm2
cav3,chchd3
cav3,nme2
cav3,idh3b
cav3,gsn
cav3,dlat
cav3,lrpprc
cav3,sorbs1
cav3,ywhaq
cav3,hadh
cav3,cct5
cav3,cct6a
cav3,flna
cav3,opa1
cav3,uqcrq
cav3,stom
cav3,flot2
cav3,gdi2
cav3,arf4
cav3,lgals1
cav3,ldhb
cav3,etfb
cav3,prdx3
cav3,samm50
cav3,hdlbp
cav3,psmd3
cav3,prdx5
cav3,map4
cav3,hk1
cav3,ndufb5
cav3,rpl18
cav3,hk2
cav3,mtch2
cav3,rplp2
cav3,ap1b1
cav3,cox5a
cav3,idh2
cav3,rpl13
cav3,etfa
cav3,tuba8
cav3,cox4i1
cav3,atp5f1
cav3,ndufa10
cav3,ndufa13
cav3,idh3a
cav3,ndufv2
cav3,mylk3
cav3,arf1
cav3,aldh2
cav3,aldh1b1
cav3,tkt
cav3,ktn1
cav3,uqcrfs1
cav3,atp5j2
cav3,atp5h
cav3,ndufb8
cav3,cox5b
cav3,idh1
cav3,mdh1
cav3,ephx2
cav3,mgst3
cav3,ampd3
cav3,acss1
cav3,acadl
cav3,ndufa12
cav3,mrps36
cav3,gfm1
cav3,selenbp1
cav3,aqp1
cav3,ndufb10
eed,ywhae
eed,ctnna1
eed,ctnnb1
eed,ywhaz
eed,rab18
eed,cdk1
eed,prkaa1
eed,prkag1
eed,cyfip1
eed,huwe1
eed,fasn
eed,smpd4
eed,actb
eed,abcf1
eed,stat3
eed,ddb1
eed,atp5b
eed,ezh2
eed,phf5a
eed,smarca5
eed,vdac1
eed,ezr
eed,parp1
eed,herc2
eed,mycbp2
eed,hspd1
eed,rab1b
eed,hspa5
eed,hsp90b1
eed,calm1
eed,calm2
eed,cltc
eed,hyou1
eed,sec61a1
eed,hsp90ab1
eed,tomm70a
eed,tjp2
eed,kif11
eed,zfp516
eed,nedd4
eed,capn1
eed,ttc27
eed,rps20
eed,ncl
eed,actn1
eed,eif3d
eed,dusp3
eed,cttn
eed,pcna
eed,chd7
eed,hspa8
eed,pcgf2
eed,pdlim7
eed,eif4a1
eed,actr3
eed,srsf1
eed,dnmt1
eed,rrm1
eed,trim28
eed,sf3b1
eed,sfpq
eed,sun2
eed,tubb5
eed,stk38
eed,lmna
eed,eif3a
eed,eif4g1
eed,eif3b
eed,pdcd11
eed,sirt2
eed,rps6ka1
eed,snrpd1
eed,txnl1
eed,as3mt
eed,noc3l
eed,eef2
eed,uba1
eed,gpi1
eed,myh9
eed,vars
eed,lars
eed,iars
eed,wdr18
eed,nckap1
eed,rcl1
eed,eif3k
eed,atp2a2
eed,bclaf1
eed,thrap3
eed,ehmt2
eed,hsd17b11
eed,eif3i
eed,soat1
eed,slc25a3
eed,mta2
eed,hells
eed,dnmt3b
eed,dnmt3a
eed,bag2
eed,kif4
eed,macf1
eed,prmt5
eed,slc2a1
eed,noc4l
eed,elavl1
eed,baz1b
eed,slc25a12
eed,cul4a
eed,cul7
eed,rpn1
eed,atp6v0c
eed,ddx5
eed,gja1
eed,smarca4
eed,vim
eed,cacybp
eed,ap2a2
eed,rap1b
eed,kif17
eed,arpc4
eed,dmxl1
eed,ap1m1
eed,pcm1
eed,grn
eed,trim25
eed,eif3f
eed,brix1
eed,dnajc10
eed,dnajb11
eed,anp32b
eed,ahctf1
eed,cand1
eed,nsf
eed,phc1
eed,cbx8
eed,pspc1
eed,rbm39
eed,vps35
eed,picalm
eed,dis3
eed,slc25a4
eed,nxn
eed,pcbp1
eed,epn1
eed,ehd1
eed,eef1g
eed,eef1b2
eed,csrp2
eed,lrrfip1
eed,rbm8a
eed,gstp1
eed,rps11
eed,cnn3
eed,mta1
eed,chd4
eed,anxa5
eed,thop1
eed,psmd11
eed,psmd5
eed,rpl32
eed,ranbp2
eed,actr2
eed,bub3
eed,ablim1
eed,pdia6
eed,prdx2
eed,immt
eed,gpx4
eed,gnai2
eed,uqcrc2
eed,atp5a1
eed,txn1
eed,cfl1
eed,dync1h1
eed,tpm3
eed,slc25a13
eed,phb2
eed,wdr1
eed,capzb
eed,mthfd1
eed,phf19
eed,twf2
eed,rpl13a
eed,dido1
eed,plekhg3
eed,iqgap1
eed,ssb
eed,ebna1bp2
eed,ybx1
eed,ddx21
eed,ccar1
eed,kpnb1
eed,ppp1r9b
eed,ftl1
eed,zfp326
eed,ckb
eed,rnf10
eed,pabpn1
eed,flnb
eed,ylpm1
eed,snrpf
eed,rps25
eed,mcm3
eed,mcm5
eed,mcm2
eed,mcm7
eed,ddx24
eed,pdlim1
eed,lmnb1
eed,cct7
eed,hip1
eed,rps8
eed,mta3
eed,rad21
eed,bax
eed,psmd2
eed,galk1
eed,krt18
eed,magoh
eed,chchd3
eed,rpl23
eed,ctcf
eed,rpl4
eed,slc25a5
eed,abce1
eed,ostc
eed,gsn
eed,myh10
eed,rab2a
eed,hcfc1
eed,ddx17
eed,uba2
eed,ncapd2
eed,rps3
eed,eif3g
eed,sf3b3
eed,rpl27a
eed,ttc21b
eed,baz1a
eed,smc1a
eed,smc3
eed,lrpprc
eed,usp9x
eed,myo5b
eed,pdcd6ip
eed,lims1
eed,rangap1
eed,ruvbl2
eed,ruvbl1
eed,metap2
eed,tpm1
eed,psmc1
eed,prpf19
eed,mybbp1a
eed,drosha
eed,hsph1
eed,mcm6
eed,hnrnpd
eed,cct5
eed,cct3
eed,cct6a
eed,psmd1
eed,cnot1
eed,pcbp2
eed,clic1
eed,smc2
eed,ipo5
eed,arhgdia
eed,hnrnpk
eed,flna
eed,snd1
eed,pcnt
eed,atp6v0a1
eed,hnrnph1
eed,uqcrq
eed,stom
